nome;fabricante;categoria; vlr_custo ; vlr_varejo ;cod_ncm;cod_forma_aquisicao;cod_origem_mercadoria;Tipo de Tributacao;cod_regra_padrao;dsc_unidade_comercial
66549-3 KIT 365mm  11557-3/55781-3/55783-3/33303-3 F, CARGO2422(6X4)VW 26-260(6X4);EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.391,00 ;87089300;30;11;19;58;PECA
66345 - KIT 362mm - 11343\55523\33325 -  MB OF1417\1418\OH1417\1418;SACHS;Produto Acabado L.P.; R$ 456,00 ; R$1.520,00 ;87089300;30;11;19;58;PECA
66450 - KIT 430mm - 11470\55722\33350 - Scania 124 Série 4;SACHS;Produto Acabado L.P.; R$ 615,00 ; R$2.230,00 ;87089300;30;11;19;58;PECA
66654 - 430mm - Cargo 1932 R/1933/3132/3133;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$2.676,00 ;87089300;30;11;19;58;PECA
11450-1 PLATÔ VALEO SCN 124\G420-440\P310\K94ônibus;VALEO;Produto Acabado L.P.; R$ 250,00 ; R$1.112,00 ;87089300;30;11;19;58;PECA
55450-1 DISCO VALEO 430mm SCN P310\G420-440\K94ônibus;VALEO;Produto Acabado L.P.; R$ 400,00 ; R$952,00 ;87089300;30;11;19;58;PECA
66166 KIT - DUCATO;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$480,00 ;87089300;30;11;19;58;PECA
33309 MANCAL 362/395mm - MBB 1417 / 1722 / HCS 06P12 / KSW 101.11 F;SACHS;Produto Acabado L.P.; R$ 70,00 ; R$331,00 ;87089300;30;11;19;58;PECA
11081 PLATÔ 350mm FORDCargo 1215 / 1415 / 1417 2217 / 2218 / 2219 / 2319;SACHS;Produto Acabado L.P.; R$ 105,00 ; R$535,00 ;87089300;30;11;19;58;PECA
11343 Plato de embreagem Dia 362 Aplicação 1417 1418;SACHS;Produto Acabado L.P.; R$ 160,00 ; R$686,00 ;87089300;30;11;19;58;PECA
11546 PLATÔ 395 mm  MBB 1722 / VW17-250;SACHS;Produto Acabado L.P.; R$ 170,00 ; R$925,00 ;87089300;30;11;19;58;PECA
33397NV MANCAL 395mm - VW constellation 13-180E / 17-250E / HCS 04P11 / 101.48AC  - alt 46,00;SACHS;Produto Acabado L.P.; R$ 136,00 ; R$245,00 ;87089300;30;11;19;58;PECA
55523 Disco Embreagem Dia 362 Aplicação 1218/1318/1418/1718C;SACHS;Produto Acabado L.P.; R$ 220,00 ; R$579,00 ;87089300;30;11;19;58;PECA
11085 Plato Embreagem Dia 330;SACHS;Produto Acabado L.P.; R$ 90,00 ; R$242,25 ;87089300;30;11;19;58;PECA
11542 - Iveco 430mm - 8210.42 KA 13.8 Turbo;SACHS;Produto Acabado L.P.; R$ 300,00 ; R$1.112,00 ;87089300;30;11;19;58;PECA
33393 -3 MANCAL 365mm EATON S/MORINGA (pescoço fino)KSW 101.67;EATON;Produto Acabado L.P.; R$ 90,00 ; R$198,00 ;87089300;30;11;19;58;PECA
55367 DISCO 310 mm MBB 712;SACHS;Produto Acabado L.P.; R$ 140,00 ; R$317,00 ;87089300;30;11;19;58;PECA
11142 Plato Embreagem Dia 325;SACHS;Produto Acabado L.P.; R$ 90,00 ; R$275,00 ;87089300;30;11;19;58;PECA
33309F MANCAL 362/395mm F.F.- MBB 1417 / 1722 / HCS 06P12 / KSW 101.11 F;SACHS;Produto Acabado L.P.; R$ 70,00 ; R$157,00 ;87089300;30;11;19;58;PECA
33366 MANCAL 430mm IVECO EURO TECH - TRAKKER - STRALIS - CURSOR;SACHS;Produto Acabado L.P.; R$ 112,00 ; R$387,00 ;87089300;30;11;19;58;PECA
55765 Disco Embreagem 395 MBB1722;SACHS;Produto Acabado L.P.; R$ 258,00 ; R$756,00 ;87089300;30;11;19;58;PECA
55767-3 Disco Eaton 395 F.F.;SACHS;Produto Acabado L.P.; R$ 260,00 ; R$756,00 ;87089300;30;11;19;58;PECA
33397 MANCAL 395mm -  VW constellation 13-180E / 17-250E / HCS 04P11 / 101.48AC;SACHS;Produto Acabado L.P.; R$ 70,00 ; R$166,00 ;87089300;30;11;19;58;PECA
33350 MANCAL 430mm SCANIA 124;SACHS;Produto Acabado L.P.; R$ 117,00 ; R$250,00 ;87089300;30;11;19;58;PECA
11097 PLATÔ 430mm PUXADO MBB1935/1938LS/AXOR1933/ATRON2729;SACHS;Produto Acabado L.P.; R$ 250,00 ; R$1.112,00 ;87089300;30;11;19;58;PECA
55293 Disco Embreagem Dia 325 Microonibus 13¨;SACHS;Produto Acabado L.P.; R$ 182,00 ; R$303,00 ;87089300;30;11;19;58;PECA
11512 Plato Embreagem Dia 350 Aplicação 1621 chapa;SACHS;Produto Acabado L.P.; R$ 100,00 ; R$542,00 ;87089300;30;11;19;58;PECA
33396 MANCAL ROL. VW19-320 / 31-320 / CONSTELL. / TITAN / TRACTOR;SACHS;Produto Acabado L.P.; R$ 118,00 ; R$323,00 ;87089300;30;11;19;58;PECA
55705 Disco - Dia 430 -  / blind. / 6molas/pré/10 estrias/vão entre capa mola e mola de torção.;SACHS;Produto Acabado L.P.; R$ 286,00 ; R$952,00 ;87089300;30;11;19;58;PECA
11203 Plato Embreagem Dia 310 Aplicação 912/914 px;SACHS;Produto Acabado L.P.; R$ 80,00 ; R$362,00 ;87089300;30;11;19;58;PECA
55346 DISCO 280mm  MBB 1113;SACHS;Produto Acabado L.P.; R$ 112,00 ; R$242,00 ;87089300;30;11;19;58;PECA
33308 MANCAL 430mm -  VOLVO FH12 / NH12 / globetrotter até 2002\hcs07P07\ksw 101.49ac;SACHS;Produto Acabado L.P.; R$ 121,00 ; R$354,00 ;87089300;30;11;19;58;PECA
11167-1 PLATO280mm com rolamento -  IVECO DAILY  35S14 / 45S14 / 55S14  cód. Valeo 233006;VALEO;Produto Acabado L.P.; R$ 100,00 ; R$260,00 ;87089300;30;11;19;58;PECA
55453-1 (VALEO)- Scania 430mm - G 380 6x2 / G 420 6x4 / G 440 6x4 / R 440 6x4;VALEO;Produto Acabado L.P.; R$ 400,00 ; R$952,00 ;87089300;30;11;19;58;PECA
33367 MANCAL 325/330mm 13 (micro) F-4000/CARGO1113/F-600/VW 12-140/8-120/8-150/9-150 - KSW 101.24BL;SACHS;Produto Acabado L.P.; R$ 45,00 ; R$80,00 ;87089300;30;11;19;58;PECA
33325 MANCAL 350mm ( F.F.) MBB 1620 / HCS 06P11 / KSW 101.10F;SACHS;Produto Acabado L.P.; R$ 60,00 ; R$190,00 ;87089300;30;11;19;58;PECA
11202 Plato Embreagem Dia 280 Aplicação 709/710 px;SACHS;Produto Acabado L.P.; R$ 90,00 ; R$362,00 ;87089300;30;11;19;58;PECA
11171 Plato Embreagem Dia. 310 Aplicação 1313;SACHS;Produto Acabado L.P.; R$ 90,00 ; R$347,00 ;87089300;30;11;19;58;PECA
55585 Disco Embreagem Dia 325 Microonibus 13VW;SACHS;Produto Acabado L.P.; R$ 182,00 ; R$350,00 ;87089300;30;11;19;58;PECA
55012 DISCO 430mm IShift Volvo FH 400, 440 / Dia interno 26;SACHS;Produto Acabado L.P.; R$ 370,00 ; R$952,00 ;87089300;30;11;19;58;PECA
55766 DISCO395mm PRÉ ESTRIA FINA MOLA PEQ.;SACHS;Produto Acabado L.P.; R$ 260,00 ; R$756,00 ;87089300;30;11;19;58;PECA
55346-1DISCO280mm  IVECO  35S14 / 45S14 / 55S14 cód. Valeo 233007;VALEO;Produto Acabado L.P.; R$ 120,00 ; R$300,00 ;87089300;30;11;19;58;PECA
55579 Disco 325mm FORD F600 /GM D60/  Microonus antigo;SACHS;Produto Acabado L.P.; R$ 182,00 ; R$548,00 ;87089300;30;11;19;58;PECA
11395-3 Plato Eaton Puxar 395mm Car (usinado- lateral da carcaça) VW 26-260\31-Cargo 2632/5032E;EATON;Produto Acabado L.P.; R$ 200,00 ; R$1.150,00 ;87089300;30;11;19;58;PECA
33326 MANCAL 310mm MBB 709/710/912/914 / HCS 06P20 / KSW 101.35F;SACHS;Produto Acabado L.P.; R$ 55,00 ; R$110,00 ;87089300;30;11;19;58;PECA
11079 PLATÔ 380MM VW 17-210/FORD 1622 mola 159;SACHS;Produto Acabado L.P.; R$ 180,00 ; R$1.058,00 ;87089300;30;11;19;58;PECA
MANCAL EMBREAGEM RCH5366 AC, 430mm ( toarama 33396);SACHS;Produto Acabado L.P.; R$ 112,00 ; R$198,00 ;87089300;30;11;19;58;PECA
55383 Disco Embreagem Dia 380 Titan 18/23/26-310;SACHS;Produto Acabado L.P.; R$ 236,00 ; R$618,00 ;87089300;30;11;19;58;PECA
11557-3 PLATÔ EATON 365MM PUXADO / Ford Cargo 1421;EATON;Produto Acabado L.P.; R$ 140,00 ; R$686,00 ;87089300;30;11;19;58;PECA
55612 Disco De Embreagem IShift Volvo FH 400, 440 / Dia interno 260;SACHS;Produto Acabado L.P.; R$ 350,00 ; R$1.140,00 ;87089300;30;11;19;58;PECA
11107 PLATÔ 280mm  MBB 1113;SACHS;Produto Acabado L.P.; R$ 80,00 ; R$275,00 ;87089300;30;11;19;58;PECA
55335 Disco Embreagem Dia 350 1620 OM366 1117/1217/1218/1318;SACHS;Produto Acabado L.P.; R$ 110,00 ; R$479,00 ;87089300;30;11;19;58;PECA
55767 DISCO 395mm Estria fina \ 4 Molas - MBB 1722;SACHS;Produto Acabado L.P.; R$ 260,00 ; R$756,00 ;87089300;30;11;19;58;PECA
55391 Disco Embreagem Dia. 310 Aplicação 1313;SACHS;Produto Acabado L.P.; R$ 110,00 ; R$275,00 ;87089300;30;11;19;58;PECA
66484 KIT 240mm -  MBB SPRINTER 1484-5677;SACHS;Produto Acabado L.P.; R$ 204,00 ; R$409,00 ;87089300;30;11;19;58;PECA
33353 MANCAL 430mm SCANIA R112 DSC11/14 Todos R142 DSC11/13 Todos T112 DSC11/14 5/6MARCHA;SACHS;Produto Acabado L.P.; R$ 108,00 ; R$323,00 ;87089300;30;11;19;58;PECA
11342 1215 C / 1718 C / 710 C / 712 C / 914 C / Atego 1315 C OM 904 LA Motor Eletrônico;SACHS;Produto Acabado L.P.; R$ 150,00 ; R$686,00 ;87089300;30;11;19;58;PECA
33390 MANCAL 430mm MBB O-500;SACHS;Produto Acabado L.P.; R$ 119,00 ; R$331,00 ;87089300;30;11;19;58;PECA
11273 PLATÔ 430mm MBB 1935\ O400;SACHS;Produto Acabado L.P.; R$ 250,00 ; R$1.112,00 ;87089300;30;11;19;58;PECA
55723 DISCO350mm VW 12-170/16-200 CARGO 1117/1417/1621/2217;SACHS;Produto Acabado L.P.; R$ 239,50 ; R$479,00 ;87089300;30;11;19;58;PECA
55536 - DISCO 350mm -MBB 1720 OM 366;SACHS;Produto Acabado L.P.; R$ 184,00 ; R$373,00 ;87089300;30;11;19;58;PECA
11470 PLATÔ430mm PUXADO SCN 112/113 -5 , 6 ,8marchas;SACHS;Produto Acabado L.P.; R$ 250,00 ; R$1.112,00 ;87089300;30;11;19;58;PECA
33358 MANCAL 310mm (baixo) MB 1313 / HCS 06P04 / KSW 101.39BL;SACHS;Produto Acabado L.P.; R$ 60,00 ; R$128,00 ;87089300;30;11;19;58;PECA
55380 DISCO 380mm -FORD Cargo 4030/ 3224;SACHS;Produto Acabado L.P.; R$ 224,00 ; R$618,00 ;87089300;30;11;19;58;PECA
11106 PLATÔ 280mm  MBB 1113;SACHS;Produto Acabado L.P.; R$ 80,00 ; R$275,00 ;87089300;30;11;19;58;PECA
33373 MANCAL 325/330mm (alto) / 8-150 / 9-150 / HCS 05P06 / KSW 101.31BL;SACHS;Produto Acabado L.P.; R$ 70,00 ; R$150,00 ;87089300;30;11;19;58;PECA
33377 MANCAL 430mm MBB 1634/1938/1944/2726/ ATRON 2729/ AXOR / O400/O500 / HCS 06P18 / KSW 101.12AC;SACHS;Produto Acabado L.P.; R$ 104,00 ; R$399,00 ;87089300;30;11;19;58;PECA
MANCAL EMBREAGEM RCH5396 AC 395mm ( toarama 33384-3);SACHS;Produto Acabado L.P.; R$ 121,00 ; R$201,00 ;87089300;30;11;19;58;PECA
RCH 5422 \ 5422AC MANCAL 430mm ( refente a SACHS 33350);SACHS;Produto Acabado L.P.; R$ 110,00 ; R$250,00 ;87089300;30;11;19;58;PECA
11453 - SCANIA 430 - G 380 6x2 / G 420 6x4 / G 440 6x4 / R 440 6x4;SACHS;Produto Acabado L.P.; R$ 250,00 ; R$1.112,00 ;87089300;30;11;19;58;PECA
55597 DISCO 395mm VW 17-250 / 24-250 CONSTELLATION;SACHS;Produto Acabado L.P.; R$ 260,00 ; R$756,00 ;87089300;30;11;19;58;PECA
11181 MBB 1525 OM 449 GF 420mm;SACHS;Produto Acabado L.P.; R$ 120,00 ; R$441,00 ;87089300;30;11;19;58;PECA
11558-3 PLATÔ 365MM EATON REFORÇADO/138206cód. Eaton / CARGO 1723 cab. nova / carga maior;SACHS;Produto Acabado L.P.; R$ 170,00 ; R$686,00 ;87089300;30;11;19;58;PECA
33392-3 MANCAL 365mm EATON C\ MORINGA (bojudo- Plástico);EATON;Produto Acabado L.P.; R$ 90,00 ; R$198,00 ;87089300;30;11;19;58;PECA
11246 Plato Embreagem Dia. 250 Aplicação 608;SACHS;Produto Acabado L.P.; R$ 80,00 ; R$230,00 ;87089300;30;11;19;58;PECA
11029 PLATÔ 350mm  VW \ CARGUINHO;SACHS;Produto Acabado L.P.; R$ 95,00 ; R$535,00 ;87089300;30;11;19;58;PECA
55293-2 DISCO325 LUK FORD 13¨;SACHS;Produto Acabado L.P.; R$ 176,00 ; R$232,00 ;87089300;30;11;19;58;PECA
33310 MANCAL 310mm MBB 1113 / 608 / HCS06P06 / KSW 101.33F;SACHS;Produto Acabado L.P.; R$ 70,00 ; R$110,00 ;87089300;30;11;19;58;PECA
ROLAMENTO Acabado Iveco Daily 35s14;SACHS;Produto Acabado L.P.; R$ 80,00 ; R$150,00 ;87089300;30;11;19;58;PECA
55524 Disco Embreagem Dia 362 Aplicação 1418/1417 S/ PRÉ;SACHS;Produto Acabado L.P.; R$ 253,00 ; R$579,00 ;87089300;30;11;19;58;PECA
55726-3 DISCO 395mm EATON  5 molas / estria grossa;EATON;Produto Acabado L.P.; R$ 247,00 ; R$756,00 ;87089300;30;11;19;58;PECA
55345-2 DISCO 420mm S112 LUK;LUK;Produto Acabado L.P.; R$ 250,00 ; R$700,00 ;87089300;30;11;19;58;PECA
33345 MANCAL 430mm- MBB 1935 hcs 06P16 \ ksw 101.37ac;SACHS;Produto Acabado L.P.; R$ 220,00 ; R$412,00 ;87089300;30;11;19;58;PECA
33363 ROLAMENTO FH12/NH12/FM(4x2)  KSW 101.17AC - Alt.-86,5\Dia.66,8;SACHS;Produto Acabado L.P.; R$ 109,00 ; R$388,00 ;87089300;30;11;19;58;PECA
