id;vlr_intermediario_ii
244834;R$195,20
245093;R$200,00
245572;R$200,00
244849;R$200,00
245285;R$200,00
246953;R$215,00
388721;R$220,00
388719;R$220,00
244780;R$232,00
245094;R$238,50
388292;R$238,50
388293;R$238,50
245019;R$242,00
245092;R$242,00
388708;R$291,25
388709;R$291,25
244897;R$312,00
245142;R$348,00
244894;R$348,00
245069;R$469,90
245107;R$109,90
246447;R$69,90
388730;R$120,06
381222;R$27,41
381327;R$27,41
246792;R$66,92
246802;R$66,92
246781;R$121,04
246801;R$121,04
247242;R$49,90
246495;R$83,44
246820;R$139,90
246588;R$139,90
246737;R$139,90
247220;R$52,27
247166;R$52,27
246854;R$93,37
383319;R$19,38
247286;R$108,05
383017;R$108,05
383018;R$108,05
246752;R$86,23
245904;R$15,33
379216;R$68,20
379217;R$68,20
246417;R$9,90
246416;R$9,90
383025;R$25,94
246877;R$76,76
246908;R$76,76
387901;R$44,30
388738;R$0,00
383033;R$167,38
388672;R$0,00
387874;R$70,47
383055;R$34,67
388663;R$32,63
388732;R$48,29
388670;R$0,00
383082;R$148,72
383084;R$13,44
383087;R$13,44
246469;R$52,37
387875;R$19,38
388673;R$38,68
388674;R$38,68
246413;R$31,97
247283;R$65,12
247284;R$65,12
247285;R$65,12
388683;R$37,19
389559;R$0,00
383103;R$16,90
383104;R$16,90
388723;R$130,50
388724;R$130,50
388726;R$130,50
383108;R$129,20
383107;R$246,65
388669;R$0,00
387880;R$38,76
246510;R$11,50
247012;R$11,50
387905;R$38,76
246452;R$13,50
246453;R$43,85
388702;R$36,41
388700;R$84,56
383161;R$35,12
246543;R$48,35
246694;R$48,35
246952;R$48,35
246418;R$20,00
246508;R$87,38
246765;R$87,38
383169;R$87,38
383170;R$87,38
383349;R$87,38
388671;R$0,00
387904;R$93,02
381048;R$51,12
381049;R$51,12
246437;R$5,87
246456;R$11,73
388750;R$0,00
246467;R$63,08
246451;R$15,70
388695;R$259,70
388626;R$23,36
388741;R$0,00
383093;R$285,00
379212;R$74,63
246493;R$26,78
246092;R$39,90
379153;R$124,97
245203;R$99,00
244944;R$99,00
245669;R$99,00
388586;R$99,01
388579;R$99,01
245648;R$89,00
246060;R$43,46
245730;R$85,00
245149;R$38,04
245905;R$19,04
245967;R$69,50
245459;R$85,00
246146;R$125,42
246147;R$100,65
245405;R$85,00
245503;R$85,00
245159;R$69,90
245628;R$69,90
244907;R$69,90
244906;R$75,50
245627;R$75,50
245158;R$75,50
244821;R$168,90
245534;R$168,90
245052;R$168,90
245386;R$85,00
379148;R$65,77
379149;R$65,77
379150;R$65,77
379160;R$22,90
379167;R$17,33
379168;R$31,71
379166;R$29,31
379169;R$44,63
379170;R$44,63
379171;R$44,63
379157;R$82,45
