cod_barras;nome;fabricante;tamanho;cor_sabor;vlr_custo;vlr_atacado;vlr_varejo;ncm;forma_aquisicao;origem_mercadoria;tipo_tributacao_ipi;Uni Comercial
790000006132;REGATA MASC - CHUMBO-CHUMBO-L;BODY STYLE;L;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006133;REGATA MASC - CHUMBO-CHUMBO-XL;BODY STYLE;XL;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006363;CAMISETA MASC - AZUL-AZUL-S;BODY STYLE;S;AZUL;0,00;39,00;79,00;61061000;30;11;19;UN
790000006364;CAMISETA MASC - AZUL-AZUL-M;BODY STYLE;M;AZUL;0,00;39,00;79,00;61061000;30;11;19;UN
790000006365;CAMISETA MASC - AZUL-AZUL-L;BODY STYLE;L;AZUL;0,00;39,00;79,00;61061000;30;11;19;UN
790000006366;CAMISETA MASC - AZUL-AZUL-XL;BODY STYLE;XL;AZUL;0,00;39,00;79,00;61061000;30;11;19;UN
790000006182;REG FEM C/CAPUZ-GOIABA-GOIABA-S;BODY STYLE;S;GOIABA;0,00;37,00;59,00;61061000;30;11;19;UN
790000006183;REG FEM C/CAPUZ-GOIABA-GOIABA-M;BODY STYLE;M;GOIABA;0,00;37,00;59,00;61061000;30;11;19;UN
790000006184;REG FEM C/CAPUZ-GOIABA-GOIABA-L;BODY STYLE;L;GOIABA;0,00;37,00;59,00;61061000;30;11;19;UN
790000006185;REF FEM C/CAPUZ-GOIABA-GOIABA-S;BODY STYLE;S;GOIABA;0,00;37,00;55,00;61061000;30;11;19;UN
790000006186;REF FEM C/CAPUZ-GOIABA-GOIABA-M;BODY STYLE;M;GOIABA;0,00;37,00;55,00;61061000;30;11;19;UN
790000006187;REF FEM C/CAPUZ-GOIABA-GOIABA-L;BODY STYLE;L;GOIABA;0,00;37,00;55,00;61061000;30;11;19;UN
790000006188;REG FEM C/CAPUZ-CHUMBO-CHUMBO-S;BODY STYLE;S;CHUMBO;0,00;37,00;55,00;61061000;30;11;19;UN
790000006189;REG FEM C/CAPUZ-CHUMBO-CHUMBO-M;BODY STYLE;M;CHUMBO;0,00;37,00;55,00;61061000;30;11;19;UN
790000006190;REG FEM C/CAPUZ-CHUMBO-CHUMBO-L;BODY STYLE;L;CHUMBO;0,00;37,00;55,00;61061000;30;11;19;UN
790000006221;REGATA DE CAPUZ MARINHO-MARINHO-S;BODY STYLE;S;MARINHO;0,00;37,00;59,00;61091000;30;11;19;UN
790000006222;REGATA DE CAPUZ MARINHO-MARINHO-M;BODY STYLE;M;MARINHO;0,00;37,00;59,00;61091000;30;11;19;UN
790000006223;REGATA DE CAPUZ MARINHO-MARINHO-L;BODY STYLE;L;MARINHO;0,00;37,00;59,00;61091000;30;11;19;UN
790000006224;CAL?A LEGGING -PRETO-S;BODY STYLE;S;PRETO;0,00;69,00;129,00;62046300;30;11;19;UN
790000006225;CAL?A LEGGING -PRETO-M;BODY STYLE;M;PRETO;0,00;69,00;129,00;62046300;30;11;19;UN
790000006226;CAL?A LEGGING -PRETO-L;BODY STYLE;L;PRETO;0,00;69,00;129,00;62046300;30;11;19;UN
790000006245;CAMISETA MASC - BRANCA-BRANCO-S;BODY STYLE;S;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006246;CAMISETA MASC - BRANCA-BRANCO-M;BODY STYLE;M;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006247;CAMISETA MASC - BRANCA-BRANCO-L;BODY STYLE;L;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
