id;vlr_atacado
381048;R$51,12
381049;R$51,12
381222;R$27,41
381257;R$35,56
381259;R$11,60
381260;R$11,60
381266;R$19,90
381327;R$27,41
381383;R$15,66
381584;R$41,00
382283;R$8,00
382611;R$88,10
382650;R$33,49
382910;R$44,27
382996;R$93,00
383002;R$27,90
383008;R$50,24
383009;R$50,24
383010;R$50,24
383011;R$50,24
383012;R$93,50
383013;R$93,50
383017;R$108,05
383018;R$108,05
383022;R$44,00
383023;R$24,40
383024;R$16,40
383025;R$25,94
383026;R$25,94
383027;R$25,94
383028;R$25,94
383029;R$42,70
383030;R$42,70
383031;R$42,70
383032;R$42,70
383033;R$167,38
383034;R$133,49
383035;R$8,91
383036;R$8,91
383037;R$8,91
383038;R$93,50
383039;R$162,00
383040;R$162,00
383041;R$162,00
383042;R$98,00
383043;R$34,30
383044;R$34,67
383046;R$32,80
383047;R$34,67
383050;R$32,80
383051;R$32,80
383053;R$34,67
383055;R$34,67
383059;R$23,53
383060;R$13,02
383062;R$17,95
383063;R$10,45
383064;R$47,24
383068;R$38,71
383070;R$38,71
383071;R$38,71
383073;R$38,71
383074;R$92,00
383075;R$92,00
383080;R$134,90
383081;R$134,90
383082;R$148,72
383083;R$13,20
383084;R$13,44
383085;R$13,20
383086;R$13,20
383087;R$13,44
383088;R$13,20
383091;R$104,00
383093;R$285,00
383095;R$13,05
383096;R$42,70
383098;R$35,90
383099;R$18,75
383100;R$18,75
383101;R$18,75
383102;R$16,90
383103;R$16,90
383104;R$16,90
383105;R$108,60
383106;R$108,60
383107;R$246,65
383108;R$129,20
383110;R$258,39
383112;R$121,50
383113;R$58,40
383114;R$58,40
383115;R$58,40
383116;R$33,12
383117;R$33,12
383118;R$33,12
383119;R$116,90
383120;R$120,33
383121;R$116,90
383122;R$23,45
383123;R$23,45
383124;R$33,75
383125;R$33,75
383127;R$53,19
383128;R$12,40
383129;R$12,40
383131;R$12,40
383132;R$8,00
383134;R$8,00
383152;R$39,02
383153;R$12,25
383154;R$12,25
383155;R$12,25
383157;R$12,25
383159;R$20,50
383161;R$35,12
383163;R$60,47
383164;R$60,47
383165;R$60,47
383166;R$107,00
383167;R$107,00
383168;R$107,00
383169;R$87,38
383170;R$87,38
383171;R$56,90
383173;R$56,90
383174;R$56,90
383175;R$56,90
383176;R$79,93
383177;R$33,41
383178;R$33,41
383179;R$33,41
383180;R$85,00
383182;R$31,50
383183;R$54,00
383184;R$70,47
383185;R$70,47
383186;R$85,50
383187;R$85,50
383188;R$85,50
383189;R$85,50
383191;R$52,07
383194;R$42,10
383195;R$42,10
383196;R$42,10
383197;R$19,78
383198;R$97,88
383200;R$15,99
383201;R$15,99
383202;R$11,42
383203;R$11,42
383204;R$11,42
383205;R$11,42
383208;R$130,71
383209;R$130,71
383212;R$68,45
383213;R$68,45
383214;R$4,50
383215;R$0,00
383216;R$0,00
383217;R$0,00
383218;R$0,00
383219;R$0,00
383220;R$4,50
383221;R$62,90
383234;R$31,91
383306;R$93,50
383308;R$11,25
383319;R$19,38
383349;R$87,38
383356;R$49,92
387544;R$89,00
387551;R$55,00
387553;R$10,55
387554;R$10,55
387555;R$10,55
387859;R$59,00
387863;R$16,50
387864;R$16,50
387866;R$22,26
387869;R$35,45
387870;R$37,45
387871;R$37,45
387874;R$70,47
387875;R$19,38
387876;R$13,44
387877;R$172,50
387878;R$143,00
387880;R$38,76
387883;R$12,40
387885;R$81,63
387888;R$16,00
387890;R$71,64
387896;R$13,25
387900;R$23,30
387901;R$44,30
387902;R$22,35
387903;R$22,35
387904;R$93,02
387905;R$38,76
387906;R$35,00
387907;R$33,20
387909;R$78,00
387943;R$44,00
387944;R$44,00
387946;R$48,55
388004;R$11,50
388023;R$35,93
388024;R$29,70
388025;R$46,73
388061;R$48,05
388062;R$48,05
388063;R$48,05
388292;R$238,50
388293;R$238,50
388302;R$7,00
388542;R$96,40
388543;R$96,40
388544;R$87,76
388545;R$87,76
388546;R$64,00
388547;R$64,00
